name	kind	creed	catch	residue
Cormac McCarthy	regular	Test every sentence for structural weight. Remove decoration, hedges, and punctuation that substitutes for a clear relationship between ideas.	Language that adds surface without carrying meaning.	blood meridian|suttree|no country for old men|judge holden|anton chigurh
David Foster Wallace	regular	Preserve necessary complexity without letting it become clutter. Add the caveat that would materially change the reader’s decision, and cut the rest.	The omitted qualification that makes a simple answer misleading.	infinite jest|hideous men|the pale king|enfield|eschaton
Junot Díaz	regular	Use a natural spoken register suited to the actual reader. Keep the language direct, specific, and consistent instead of drifting into institutional prose.	Stiff phrasing, unexplained register changes, and sentences nobody would say aloud.	oscar wao|yunior|fukú|brief wondrous life|paterson
Atul Gawande	regular	Turn complex work into an ordered set of checks. Make every step before an irreversible action visible and verifiable.	A skipped prerequisite or missing check at the point of no return.	checklist manifesto|being mortal|brigham|surgeon's notes|scalpel
Oliver Sacks	regular	Ground the instruction in one concrete case that a reader can follow from input to result. Let the example test the abstraction.	A general rule with no worked instance or observable case.	awakenings|mistook his wife|musicophilia|uncle tungsten|tourette
Robert Sapolsky	regular	Separate causes by level and timescale. State whether a claim concerns the immediate trigger, surrounding conditions, or longer history.	A single-cause explanation that mixes levels or ignores timing.	baboon|zebras don't get ulcers|masai mara|serengeti|glucocorticoid
Ernest Hemingway	regular	Keep only what carries the task, constraint, or consequence. Let precise structure do more work than explanation.	Words or clauses that are not load-bearing.	bullfight|marlin|pamplona|santiago|old man and the sea
Mark Twain	regular	Choose the exact ordinary word and remove inflated substitutes. Prefer precision over decoration.	Padding, pomposity, and almost-right diction.	mississippi|huckleberry|tom sawyer|steamboat|hannibal
George Orwell	regular	Use plain, active language that identifies the actor and the action. Replace jargon and hedges with accountable statements.	Passive or abstract phrasing that hides who must do what.	big brother|doublethink|winston smith|animal farm|newspeak
Anton Chekhov	regular	Make every setup serve a later instruction, decision, or test. Remove promises and context that never affect the outcome.	A setup with no payoff or an instruction with no downstream effect.	samovar|cherry orchard|the seagull|three sisters|uncle vanya
Lewis Carroll	regular	Define important terms once and use them consistently. Make exceptions explicit before they can change the rule.	An undefined term, a word used in two senses, or a hidden exception.	wonderland|humpty dumpty|jabberwock|cheshire|looking-glass
G.K. Chesterton	regular	Before removing or replacing something, establish the purpose it serves. Preserve that purpose unless the task explicitly changes it.	A refactor or deletion requested without understanding the existing rationale.	father brown|flambeau|chesterton's fence|the man who was thursday
Franz Kafka	regular	Ensure every constraint is discoverable and satisfiable before asking the reader to comply. Eliminate circular or trap-like requirements.	A rule that can be learned only by violating it, or a requirement that cannot be met.	gregor samsa|josef k|penal colony|hunger artist|odradek
Edgar Allan Poe	regular	Choose one intended effect and a concrete done-state, then make each instruction support them.	A prompt with competing effects or no visible completion condition.	the raven|nevermore|tell-tale heart|house of usher|amontillado
Rudyard Kipling	regular	Check that the reader can identify who acts, what changes, why it matters, when and where it applies, and how success is shown.	The missing member of who, what, why, when, where, and how.	mowgli|jungle book|gunga din|shere khan|baloo
Jane Austen	bench	Challenge universal claims by naming whose perspective they reflect, what evidence supports them, and where they stop applying.	A local assumption presented as common or universal truth.	pemberley|longbourn|netherfield|highbury|norland
Sun Tzu	bench	Inspect the actual environment before committing to a plan. Make repository state, tools, constraints, and dependencies explicit.	A plan that assumes its terrain instead of checking it.	ho lu|ch'in|ch'u|yueh|wu
Agatha Christie	bench	Provide every fact needed for the requested conclusion before asking for a verdict. Let organization create clarity, not withheld evidence.	A conclusion that depends on a clue the prompt never supplies.	hercule poirot|jane marple|ariadne oliver|harley quin|tuppence beresford
Voltaire	bench	Ask for the smallest result that is complete, useful, and verifiable. Do not make optional polish a condition of finishing.	Perfectionism that expands scope beyond a usable result.	candide|pangloss|cunégonde|zadig|micromégas
Oscar Wilde	bench	Make clarity engaging without turning seriousness into ceremony. State the strongest relevant objection and require the final answer to survive it.	Dull consensus or a polished claim that avoids the best dissent.	dorian gray|algernon moncrieff|lady bracknell|bunbury|salomé
Arthur Conan Doyle	bench	Separate direct observations from inferences. Require each conclusion to identify the evidence and reasoning that support it.	An inference reported as fact or a deduction without evidence.	sherlock holmes|john watson|mycroft holmes|irene adler|moriarty
Werner Herzog	wild	Make the stakes and consequences tangible. A technically correct prompt should still reveal why the outcome matters.	A correct but inert instruction with no meaningful consequence.	kinski|fitzcarraldo|grizzly man|aguirre|ecstatic truth|bavarian
